state,fitted_length,nfish,sumnfish,fitted_prob,observed_prob,_merge,p_star,below,above,sum_below,sum_above,first,cdf_star,pstar_all,prob_below_adj,prob_above_adj,prob_star,sum_prob_f
CT,1.5,1,6225864,1.6062027e-07,0,Master only (1),,1,,.74924845,,1,1.6062027e-07,.81999999,1.6062027e-07,0,1.6062027e-07,1
CT,2.5,17,6225864,2.7305448e-06,0,Master only (1),,1,,.74924845,,,,.81999999,2.9883902e-06,0,2.9883902e-06,1
CT,3,64,6225864,.000010279698,.00047033257,Matched (3),,1,,.74924845,,,,.81999999,.000011250409,0,.000011250409,1
CT,3.5,310,6225864,.000049792285,0,Master only (1),,1,,.74924845,,,,.81999999,.000054494172,0,.000054494172,1
CT,4,1014,6225864,.00016286896,.0032179276,Matched (3),,1,,.74924845,,,,.81999999,.00017824868,0,.00017824868,1
CT,4.5,3171,6225864,.00050932687,0,Master only (1),,1,,.74924845,,,,.81999999,.00055742264,0,.00055742264,1
CT,5,7415,6225864,.0011909994,.0082433755,Matched (3),,1,,.74924845,,,,.81999999,.0013034655,0,.0013034655,1
CT,5.5,15409,6225864,.0024749979,0,Master only (1),,1,,.74924845,,,,.81999999,.0027087119,0,.0027087119,1
CT,6,28617,6225864,.0045964704,.014580309,Matched (3),,1,,.74924845,,,,.81999999,.0050305151,0,.0050305151,1
CT,6.5,48394,6225864,.0077730576,0,Master only (1),,1,,.74924845,,,,.81999999,.0085070673,0,.0085070673,1
CT,7,76032,6225864,.012212281,.021598093,Matched (3),,1,,.74924845,,,,.81999999,.013365487,0,.013365487,1
CT,7.5,109599,6225864,.017603822,0,Master only (1),,1,,.74924845,,,,.81999999,.019266151,0,.019266151,1
CT,8,150295,6225864,.024140425,.040998891,Matched (3),,1,,.74924845,,,,.81999999,.026420007,0,.026420007,1
CT,8.5,193478,6225864,.031076489,0,Master only (1),,1,,.74924845,,,,.81999999,.034011044,0,.034011044,1
CT,9,239202,6225864,.038420692,.053167477,Matched (3),,1,,.74924845,,,,.81999999,.04204876,0,.04204876,1
CT,9.5,281014,6225864,.045136545,0,Master only (1),,1,,.74924845,,,,.81999999,.049398791,0,.049398791,1
CT,10,319568,6225864,.051329102,.079251803,Matched (3),,1,,.74924845,,,,.81999999,.056176111,0,.056176111,1
CT,10.5,349975,6225864,.056213081,0,Master only (1),,1,,.74924845,,,,.81999999,.061521284,0,.061521284,1
CT,11,372188,6225864,.05978094,.10032075,Matched (3),,1,,.74924845,,,,.81999999,.065426059,0,.065426059,1
CT,11.5,385576,6225864,.061931323,0,Master only (1),,1,,.74924845,,,,.81999999,.067779496,0,.067779496,1
CT,12,388152,6225864,.06234508,.15382402,Matched (3),,1,,.74924845,,,,.81999999,.068232328,0,.068232328,1
CT,12.5,380971,6225864,.061191667,0,Master only (1),,1,,.74924845,,,,.81999999,.066969998,0,.066969998,1
CT,13,365307,6225864,.05867571,.12779388,Matched (3),,1,,.74924845,,,,.81999999,.064216457,0,.064216457,1
CT,13.5,343157,6225864,.055117972,0,Master only (1),,1,,.74924845,,,,.81999999,.060322765,0,.060322765,1
CT,14,316928,6225864,.050905064,.14368953,Matched (3),,1,,.74924845,,,,.81999999,.055712029,0,.055712029,1
CT,14.5,288865,6225864,.046397578,0,Master only (1),.81999999,1,,.74924845,,,,.81999999,.050778903,0,.050778903,1
