state,year2,month,period,mode1,period2,dtrip,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
CT,2020,5,9,bt,9_bt,2685.3508,4,19,100,0,100,100,0,15,30,9
CT,2020,5,10,bt,10_bt,16391.096,4,19,100,0,100,100,5,15,30,9
CT,2020,5,10,sh,10_sh,8965.5889,4,19,100,0,100,100,5,15,30,9
CT,2020,6,11,bt,11_bt,31702.846,4,19,100,0,100,100,5,15,30,9
CT,2020,6,11,sh,11_sh,1820.1973,4,19,100,0,100,100,5,15,30,9
CT,2020,6,12,bt,12_bt,51104.539,4,19,100,0,100,100,5,15,30,9
CT,2020,6,12,sh,12_sh,7357.6968,4,19,100,0,100,100,5,15,30,9
CT,2020,7,13,bt,13_bt,41065.781,4,19,100,0,100,100,5,15,30,9
CT,2020,7,13,sh,13_sh,77370.977,4,19,100,0,100,100,5,15,30,9
CT,2020,7,14,bt,14_bt,43854.926,4,19,100,0,100,100,5,15,30,9
CT,2020,7,14,sh,14_sh,16743.553,4,19,100,0,100,100,5,15,30,9
CT,2020,8,15,bt,15_bt,57869.008,4,19,100,0,100,100,5,15,30,9
CT,2020,8,15,sh,15_sh,14487.962,4,19,100,0,100,100,5,15,30,9
CT,2020,8,16,bt,16_bt,22434.545,4,19,100,0,100,100,5,15,30,9
CT,2020,8,16,sh,16_sh,58448.496,4,19,100,0,100,100,5,15,30,9
CT,2020,9,17,bt,17_bt,17451.127,4,19,100,0,100,100,5,15,30,9
CT,2020,9,17,sh,17_sh,19383.303,4,19,100,0,100,100,5,15,30,9
CT,2020,9,18,bt,18_bt,7396.4336,4,19,100,0,100,100,5,15,30,9
CT,2020,9,18,sh,18_sh,1331.902,4,19,100,0,100,100,5,15,30,9
CT,2020,10,19,bt,19_bt,8837.8115,0,19,100,0,100,100,5,15,30,9
CT,2020,10,19,sh,19_sh,44360.531,0,19,100,0,100,100,5,15,30,9
DE,2020,4,8,bt,8_bt,12988.547,4,16.5,100,0,100,100,0,12.5,50,8
DE,2020,4,8,sh,8_sh,1613.0906,4,16.5,100,0,100,100,0,12.5,50,8
DE,2020,5,9,bt,9_bt,8715.2422,4,16.5,100,0,100,100,0,12.5,50,8
DE,2020,5,9,sh,9_sh,3765.6765,4,16.5,100,0,100,100,0,12.5,50,8
DE,2020,5,10,bt,10_bt,17901.477,4,16.5,100,0,100,100,15,12.5,50,8
DE,2020,5,10,sh,10_sh,9507.6689,4,16.5,100,0,100,100,15,12.5,50,8
DE,2020,6,11,bt,11_bt,22771.633,4,16.5,100,0,100,100,15,12.5,50,8
DE,2020,6,11,sh,11_sh,1080.4266,4,16.5,100,0,100,100,15,12.5,50,8
DE,2020,6,12,bt,12_bt,67498.234,4,16.5,100,0,100,100,15,12.5,50,8
DE,2020,6,12,sh,12_sh,5908.9087,4,16.5,100,0,100,100,15,12.5,50,8
DE,2020,7,13,bt,13_bt,25325.994,4,16.5,100,0,100,100,15,12.5,50,8
DE,2020,7,13,sh,13_sh,6446.7344,4,16.5,100,0,100,100,15,12.5,50,8
