,colname,StatusQuo
1,bsb_keep_i,0.107021117
2,bsb_keep_i_NJ,0.107021117
3,bsb_keep_i_fh,0.117760122
4,bsb_keep_i_fh_NJ,0.117760122
5,bsb_keep_i_pr,0.17488628
6,bsb_keep_i_pr_NJ,0.17488628
7,bsb_keep_i_shore,0.023568365
8,bsb_keep_i_shore_NJ,0.023568365
9,bsb_keep_sum,25616981.12
10,bsb_keep_sum_NJ,25616981.12
11,bsb_keep_sum_fh,622278.1668
12,bsb_keep_sum_fh_NJ,622278.1668
13,bsb_keep_sum_pr,22523892.5
14,bsb_keep_sum_pr_NJ,22523892.5
15,bsb_keep_sum_shore,2470810.446
16,bsb_keep_sum_shore_NJ,2470810.446
17,calib_bsb_keep_sum_NJ,24681246.59
18,calib_bsb_rel_sum_NJ,351137396
19,calib_sf_keep_sum_NJ,40928762.87
20,calib_sf_rel_sum_NJ,385280295.3
21,cv_i,-5.041845918
22,cv_i_NJ,-5.041845918
23,cv_i_fh_NJ,-6.577855045
24,cv_i_pr_NJ,-6.108853928
25,cv_i_shore_NJ,-3.656977227
26,cv_sum,-1207581577
27,cv_sum_NJ,-1207581577
28,cv_sum_fh,-34748534.17
29,cv_sum_fh_NJ,-34748534.17
30,cv_sum_pr,-786668775.2
31,cv_sum_pr_NJ,-786668775.2
32,cv_sum_shore,-386164268.1
33,cv_sum_shore_NJ,-386164268.1
34,draw,50.5
35,n_choice_occasions_NJ,239580496.1
36,n_choice_occasions_sum,239580496.1
37,ntrips_sum,164853667.7
38,ntrips_sum_NJ,164853667.7
39,ntrips_sum_fh,3523740.842
40,ntrips_sum_fh_NJ,3523740.842
41,ntrips_sum_pr,86123887.99
42,ntrips_sum_pr_NJ,86123887.99
43,ntrips_sum_shore,75206038.84
44,ntrips_sum_shore_NJ,75206038.84
45,seed_NJ,190
46,sf_keep_i,0.350663444
47,sf_keep_i_NJ,0.350663444
48,sf_keep_i_fh,0.474491684
49,sf_keep_i_fh_NJ,0.474491684
50,sf_keep_i_pr,0.446886398
51,sf_keep_i_pr_NJ,0.446886398
52,sf_keep_i_shore,0.226543142
53,sf_keep_i_shore_NJ,0.226543142
54,sf_keep_sum,83987714.44
55,sf_keep_sum_NJ,83987714.44
56,sf_keep_sum_fh,2505730.596
57,sf_keep_sum_fh_NJ,2505730.596
58,sf_keep_sum_pr,57573392.17
59,sf_keep_sum_pr_NJ,57573392.17
60,sf_keep_sum_shore,23908591.67
61,sf_keep_sum_shore_NJ,23908591.67
