state,fitted_length,nfish,sumnfish,fitted_prob,observed_prob,_merge,p_star,below,above,sum_below,sum_above,first,cdf_star,pstar_all,prob_below_adj,prob_above_adj,prob_star,sum_prob_f
CT,2.5,4,6079429,6.5795723e-07,0,Master only (1),,1,,.36100945,,1,6.5795723e-07,.56,6.5795723e-07,0,6.5795746e-07,1
CT,3,23,6079429,3.7832540e-06,.00062757189,Matched (3),,1,,.36100945,,,,.56,5.8686060e-06,0,5.8686082e-06,1
CT,3.5,239,6079429,.000039312941,0,Master only (1),,1,,.36100945,,,,.56,.000060982467,0,.000060982489,1
CT,4,1400,6079429,.00023028502,.0016316868,Matched (3),,1,,.36100945,,,,.56,.00035721948,0,.0003572196,1
CT,4.5,5821,6079429,.00095749222,0,Master only (1),,1,,.36100945,,,,.56,.0014852677,0,.0014852682,1
CT,5,18662,6079429,.0030696993,.0040817154,Matched (3),,1,,.36100945,,,,.56,.0047617359,0,.0047617378,1
CT,5.5,48540,6079429,.0079843113,0,Master only (1),,1,,.36100945,,,,.56,.012385312,0,.012385316,1
CT,6,102791,6079429,.01690802,.012349045,Matched (3),,1,,.36100945,,,,.56,.026227821,0,.02622783,1
CT,6.5,186901,6079429,.030743215,0,Master only (1),,1,,.36100945,,,,.56,.047689058,0,.047689077,1
CT,7,294070,6079429,.048371367,.11165817,Matched (3),,1,,.36100945,,,,.56,.075033955,0,.075033985,1
CT,7.5,414037,6079429,.068104655,0,Master only (1),,1,,.36100945,,,,.56,.10564435,0,.10564438,1
CT,8,520999,6079429,.085698761,.1746496,Matched (3),,1,,.36100945,,,,.56,.13293643,0,.13293648,1
CT,8.5,601242,6079429,.098897874,0,Master only (1),.56,1,,.36100945,,,,.56,.15341097,0,.15341103,1
CT,9,637843,6079429,.10491835,.24128653,Matched (3),,,1,,.63899058,,,.56,0,.072245307,.07224533,1
CT,9.5,631268,6079429,.10383683,0,Master only (1),,,1,,.63899058,,,.56,0,.071500592,.071500614,1
CT,10,582390,6079429,.09579692,.1974003,Matched (3),,,1,,.63899058,,,.56,0,.065964423,.065964445,1
CT,10.5,507601,6079429,.083494931,0,Master only (1),,,1,,.63899058,,,.56,0,.057493445,.057493467,1
CT,11,419338,6079429,.068976611,.11404955,Matched (3),,,1,,.63899058,,,.56,0,.04749633,.047496349,1
CT,11.5,330675,6079429,.054392498,0,Master only (1),,,1,,.63899058,,,.56,0,.037453916,.037453931,1
CT,12,248197,6079429,.040825751,.062786415,Matched (3),,,1,,.63899058,,,.56,0,.028112043,.028112052,1
CT,12.5,179709,6079429,.029560206,0,Master only (1),,,1,,.63899058,,,.56,0,.020354746,.020354753,1
CT,13,124503,6079429,.020479411,.043954074,Matched (3),,,1,,.63899058,,,.56,0,.014101837,.014101841,1
CT,13.5,83854,6079429,.013793086,0,Master only (1),,,1,,.63899058,,,.56,0,.0094977263,.0094977301,1
CT,14,54522,6079429,.0089682862,.01906986,Matched (3),,,1,,.63899058,,,.56,0,.0061754365,.0061754389,1
