state,fitted_length,nfish,sumnfish,fitted_prob,observed_prob,_merge,p_star,below,above,sum_below,sum_above,first,cdf_star,pstar_all,prob_below_adj,prob_above_adj,prob_star,sum_prob_f
CT,6,77,10876481,7.0795363e-06,.00014480232,Matched (3),,1,,.83763677,,1,7.0795363e-06,.89999998,7.0795363e-06,0,7.0795400e-06,1
CT,6.5,266,10876481,.00002445658,0,Master only (1),,1,,.83763677,,,,.89999998,.000026277407,0,.000026277421,1
CT,7,827,10876481,.000076036056,.0015204246,Matched (3),,1,,.83763677,,,,.89999998,.000081697042,0,.000081697086,1
CT,7.5,2401,10876481,.00022075282,0,Master only (1),,1,,.83763677,,,,.89999998,.00023718817,0,.0002371883,1
CT,8,5839,10876481,.00053684949,.0024616397,Matched (3),,1,,.83763677,,,,.89999998,.00057681865,0,.00057681894,1
CT,8.5,12887,10876481,.0011848569,0,Master only (1),,1,,.83763677,,,,.89999998,.001273071,0,.0012730717,1
CT,9,25686,10876481,.0023616229,.0038372618,Matched (3),,1,,.83763677,,,,.89999998,.0025374489,0,.0025374503,1
CT,9.5,46705,10876481,.0042941524,0,Master only (1),,1,,.83763677,,,,.89999998,.0046138577,0,.00461386,1
CT,10,79506,10876481,.007309943,.013901024,Matched (3),,1,,.83763677,,,,.89999998,.0078541785,0,.0078541832,1
CT,10.5,125216,10876481,.011512613,0,Master only (1),,1,,.83763677,,,,.89999998,.012369743,0,.012369749,1
CT,11,185086,10876481,.017017182,.028613012,Matched (3),,1,,.83763677,,,,.89999998,.018284135,0,.018284144,1
CT,11.5,257954,10876481,.023716815,0,Master only (1),,1,,.83763677,,,,.89999998,.025482565,0,.025482578,1
CT,12,341097,10876481,.031361148,.057237156,Matched (3),,1,,.83763677,,,,.89999998,.033696029,0,.033696048,1
CT,12.5,430896,10876481,.039617453,0,Master only (1),,1,,.83763677,,,,.89999998,.042567026,0,.042567048,1
CT,13,520204,10876481,.047828607,.089305855,Matched (3),,1,,.83763677,,,,.89999998,.051389512,0,.051389538,1
CT,13.5,601366,10876481,.055290811,0,Master only (1),,1,,.83763677,,,,.89999998,.059407286,0,.05940732,1
CT,14,667480,10876481,.061369464,.12759416,Matched (3),,1,,.83763677,,,,.89999998,.065938503,0,.06593854,1
CT,14.5,716166,10876481,.065845758,0,Master only (1),,1,,.83763677,,,,.89999998,.070748068,0,.070748106,1
CT,15,744426,10876481,.068444036,.13138728,Matched (3),,1,,.83763677,,,,.89999998,.073539786,0,.073539823,1
CT,15.5,748975,10876481,.068862282,0,Master only (1),,1,,.83763677,,,,.89999998,.073989175,0,.073989213,1
CT,16,730869,10876481,.067197584,.14342198,Matched (3),,1,,.83763677,,,,.89999998,.072200537,0,.072200574,1
CT,16.5,693951,10876481,.063803263,0,Master only (1),,1,,.83763677,,,,.89999998,.0685535,0,.068553537,1
CT,17,640946,10876481,.058929875,.18000612,Matched (3),,1,,.83763677,,,,.89999998,.063317284,0,.063317321,1
CT,17.5,579398,10876481,.053271029,0,Master only (1),,1,,.83763677,,,,.89999998,.05723713,0,.057237159,1
CT,18,510549,10876481,.046940912,.081804544,Matched (3),,1,,.83763677,,,,.89999998,.050435726,0,.050435752,1
CT,18.5,441715,10876481,.040612172,0,Master only (1),.89999998,1,,.83763677,,,,.89999998,.043635804,0,.043635827,1
CT,19,374031,10876481,.034389168,.030354962,Matched (3),,,1,,.16236328,,,.89999998,0,.021180391,.021180402,1
CT,19.5,310793,10876481,.02857494,0,Master only (1),,,1,,.16236328,,,.89999998,0,.017599391,.0175994,1
CT,20,251339,10876481,.023108618,.035483554,Matched (3),,,1,,.16236328,,,.89999998,0,.014232666,.014232674,1
CT,20.5,202001,10876481,.018572381,0,Master only (1),,,1,,.16236328,,,.89999998,0,.011438784,.011438791,1
CT,21,158326,10876481,.014556813,.027179491,Matched (3),,,1,,.16236328,,,.89999998,0,.0089655844,.0089655891,1
CT,21.5,122695,10876481,.011280827,0,Master only (1),,,1,,.16236328,,,.89999998,0,.006947895,.0069478988,1
CT,22,93774,10876481,.0086217718,.017716603,Matched (3),,,1,,.16236328,,,.89999998,0,.005310175,.0053101778,1
CT,22.5,70756,10876481,.0065054502,0,Master only (1),,,1,,.16236328,,,.89999998,0,.0040067262,.0040067285,1
CT,23,52259,10876481,.0048047984,.0086626587,Matched (3),,,1,,.16236328,,,.89999998,0,.0029592896,.0029592912,1
CT,23.5,38563,10876481,.0035455604,0,Master only (1),,,1,,.16236328,,,.89999998,0,.0021837212,.0021837223,1
CT,24,27558,10876481,.0025337383,.010406838,Matched (3),,,1,,.16236328,,,.89999998,0,.0015605369,.0015605377,1
CT,24.5,19784,10876481,.001818981,0,Master only (1),,,1,,.16236328,,,.89999998,0,.0011203159,.0011203164,1
CT,25,14008,10876481,.0012879239,.0039294893,Matched (3),,,1,,.16236328,,,.89999998,0,.00079323613,.00079323654,1
CT,25.5,9926,10876481,.00091261661,0,Master only (1),,,1,,.16236328,,,.89999998,0,.00056208327,.00056208356,1
CT,26,6737,10876481,.00061941345,.0028172105,Matched (3),,,1,,.16236328,,,.89999998,0,.00038149857,.00038149877,1
CT,26.5,4506,10876481,.00041429076,0,Master only (1),,,1,,.16236328,,,.89999998,0,.00025516291,.00025516306,1
CT,27,3053,10876481,.00028069899,.0013766628,Matched (3),,,1,,.16236328,,,.89999998,0,.00017288334,.00017288343,1
CT,27.5,2073,10876481,.00019059582,0,Master only (1),,,1,,.16236328,,,.89999998,0,.00011738853,.0001173886,1
CT,28,1360,10876481,.00012504116,.00030188361,Matched (3),,,1,,.16236328,,,.89999998,0,.000077013225,.000077013268,1
CT,28.5,895,10876481,.000082288119,0,Master only (1),,,1,,.16236328,,,.89999998,0,.000050681498,.000050681523,1
CT,29,562,10876481,.000051671417,.00038327338,Matched (3),,,1,,.16236328,,,.89999998,0,.00003182458,.000031824598,1
CT,29.5,372,10876481,.000034202436,0,Master only (1),,,1,,.16236328,,,.89999998,0,.000021065382,.000021065393,1
