mean,st_error,state,mode
45.322105,1.8899306,CT,pr
45.322105,1.8899306,CT,fh
25.748837,3.2717061,CT,sh
58.195332,3.7097659,DE,pr
58.195332,3.7097659,DE,fh
45.386662,4.272274,DE,sh
64.486557,5.2860112,MA,pr
64.486557,5.2860112,MA,fh
27.411936,4.8628936,MA,sh
55.771103,3.8474567,MD,pr
55.771103,3.8474567,MD,fh
29.351318,2.5474501,MD,sh
31.354532,4.1158123,ME,pr
31.354532,4.1158123,ME,fh
44.360611,7.0502234,ME,sh
64.76429,2.7738619,NC,pr
64.76429,2.7738619,NC,fh
80.991875,4.6352735,NC,sh
39.586594,2.6495495,NH,pr
39.586594,2.6495495,NH,fh
35.391319,12.554005,NH,sh
69.970787,6.2975707,NJ,pr
69.970787,6.2975707,NJ,fh
22.777168,1.8339541,NJ,sh
56.978596,4.7052345,NY,pr
56.978596,4.7052345,NY,fh
18.929695,1.5289767,NY,sh
34.735844,2.8321815,RI,pr
34.735844,2.8321815,RI,fh
19.583847,2.8172171,RI,sh
57.51775,4.1297607,VA,pr
57.51775,4.1297607,VA,fh
34.233173,6.1085596,VA,sh
