"CRUISE6"	"STRATUM"	"SVSPP"	"LENGTH"	"AGE"
"201304"	"01010"	"103"	41	3
"201304"	"01010"	"103"	40	3
"201304"	"01010"	"103"	44	3
"201304"	"01010"	"103"	45	4
"201304"	"01010"	"103"	37	1
"201304"	"01010"	"103"	38	2
"201304"	"01010"	"103"	44	4
"201304"	"01010"	"103"	42	3
"201304"	"01010"	"103"	37	2
"201304"	"01010"	"103"	49	4
"201304"	"01010"	"103"	49	4
"201304"	"01010"	"103"	41	3
"201304"	"01010"	"103"	56	4
"201304"	"01010"	"103"	48	4
"201304"	"01010"	"103"	42	3
"201304"	"01010"	"103"	39	2
"201304"	"01010"	"103"	43	3
"201304"	"01010"	"103"	43	3
"201304"	"01010"	"103"	40	3
"201304"	"01010"	"103"	34	3
"201304"	"01010"	"103"	37	3
"201202"	"01010"	"103"	39	3
"201202"	"01010"	"103"	37	3
"201202"	"01010"	"103"	35	3
"201202"	"01010"	"103"	41	4
"201202"	"01010"	"103"	34	2
"201202"	"01010"	"103"	45	5
"201202"	"01010"	"103"	40	3
"201202"	"01010"	"103"	40	3
"201202"	"01010"	"103"	52	4
"201202"	"01010"	"143"	29	5
"201202"	"01010"	"143"	30	6
"201202"	"01010"	"143"	11	1
"201202"	"01010"	"143"	19	2
"201202"	"01010"	"143"	12	1
"201202"	"01010"	"143"	14	1
"201202"	"01010"	"143"	21	2
"201202"	"01010"	"143"	25	4
"201202"	"01010"	"143"	28	5
"201202"	"01010"	"143"	35	7
"201202"	"01010"	"143"	22	3
"201202"	"01010"	"143"	27	4
"201202"	"01010"	"143"	16	2
"201202"	"01010"	"143"	24	4
"201202"	"01010"	"143"	26	3
"201202"	"01010"	"143"	9	1
"201202"	"01010"	"143"	18	2
"201202"	"01010"	"143"	17	2
"201202"	"01010"	"143"	10	1
"201202"	"01010"	"143"	20	2
"201202"	"01010"	"143"	23	3
"201202"	"01010"	"143"	32	7
"201202"	"01010"	"141"	12	1
"201202"	"01010"	"141"	8	1
"201202"	"01010"	"141"	7	1
"201202"	"01010"	"141"	9	1
"201202"	"01010"	"141"	11	1
"201202"	"01010"	"141"	14	1
"201202"	"01010"	"141"	10	1
"201202"	"01010"	"143"	7	1
"201202"	"01010"	"103"	32	2
"201202"	"01010"	"103"	28	1
"201202"	"01010"	"103"	38	2
"201202"	"01010"	"141"	13	1
"201202"	"01010"	"141"	10	1
"201202"	"01010"	"141"	9	1
"201202"	"01010"	"141"	8	1
"201202"	"01010"	"141"	7	1
"201202"	"01010"	"103"	30	2
"201202"	"01010"	"103"	25	1
"201202"	"01010"	"103"	39	3
"201202"	"01010"	"103"	36	2
"201202"	"01010"	"103"	35	2
"201202"	"01010"	"103"	61	6
"201202"	"01010"	"143"	21	2
"201202"	"01010"	"141"	9	1
"201202"	"01010"	"141"	8	1
"201202"	"01010"	"141"	13	1
"201202"	"01010"	"141"	7	1
"201202"	"01010"	"103"	32	3
"201202"	"01010"	"103"	33	3
"201202"	"01010"	"103"	39	3
"201202"	"01010"	"103"	28	1
"201202"	"01010"	"103"	35	2
"201202"	"01010"	"103"	50	5
"201202"	"01010"	"103"	58	7
"201202"	"01010"	"143"	11	1
"201202"	"01010"	"103"	38	3
"201202"	"01010"	"103"	28	1
"201202"	"01010"	"103"	36	3
"201202"	"01010"	"103"	52	5
"201202"	"01010"	"103"	32	2
"201202"	"01010"	"103"	32	2
"201202"	"01010"	"103"	60	7
"201202"	"01010"	"103"	30	1
"201202"	"01010"	"103"	39	4
"201202"	"01010"	"103"	33	1
"201202"	"01010"	"103"	30	2
"201202"	"01010"	"103"	36	3
"201202"	"01010"	"103"	27	1
"201202"	"01010"	"103"	32	2
"201202"	"01010"	"103"	36	3
"201202"	"01010"	"103"	27	1
"201202"	"01010"	"141"	11	1
"201202"	"01010"	"143"	9	1
"201202"	"01010"	"103"	37	3
"201202"	"01010"	"103"	40	4
"201202"	"01010"	"141"	10	1
"201202"	"01010"	"141"	9	1
"201202"	"01010"	"141"	12	1
"201202"	"01010"	"141"	7	1
"201202"	"01010"	"141"	11	1
"201202"	"01010"	"143"	20	2
"201202"	"01010"	"143"	19	2
"201204"	"01010"	"103"	41	4
"201204"	"01010"	"103"	53	5
"201204"	"01010"	"103"	49	4
"201204"	"01010"	"103"	37	1
"201204"	"01010"	"103"	40	3
"201204"	"01010"	"103"	62	6
"201204"	"01010"	"103"	33	2
"201204"	"01010"	"103"	46	4
"201204"	"01010"	"103"	44	3
"201204"	"01010"	"103"	67	8
"201204"	"01010"	"103"	62	6
"201204"	"01010"	"141"	23	2
"201204"	"01010"	"141"	51	6
"201204"	"01010"	"141"	18	1
"201204"	"01010"	"141"	27	2
"201204"	"01010"	"141"	21	1
"201204"	"01010"	"141"	21	1
"201204"	"01010"	"141"	24	1
"201204"	"01010"	"141"	18	1
"201204"	"01010"	"141"	15	0
"201204"	"01010"	"141"	16	1
"201204"	"01010"	"141"	10	0
"201204"	"01010"	"141"	6	0
"201204"	"01010"	"103"	35	2
"201204"	"01010"	"103"	35	2
"201204"	"01010"	"103"	68	9
"201204"	"01010"	"103"	46	4
"201204"	"01010"	"103"	47	4
"201204"	"01010"	"103"	43	3
"201204"	"01010"	"103"	51	4
"201204"	"01010"	"103"	44	4
"201204"	"01010"	"103"	43	4
"201204"	"01010"	"103"	69	11
"201204"	"01010"	"103"	29	0
"201204"	"01010"	"103"	45	3
"201204"	"01010"	"103"	28	0
"201204"	"01010"	"103"	42	3
"201204"	"01010"	"103"	40	2
"201204"	"01010"	"103"	30	1
"201204"	"01010"	"103"	37	3
"201204"	"01010"	"143"	15	1
"201204"	"01010"	"143"	23	2
"201204"	"01010"	"143"	25	4
"201204"	"01010"	"143"	18	1
"201204"	"01010"	"143"	18	1
"201204"	"01010"	"143"	16	1
"201204"	"01010"	"143"	16	1
"201204"	"01010"	"143"	21	2
"201204"	"01010"	"143"	13	1
"201204"	"01010"	"143"	8	0
