length,state,mode,fitted_prob,draw
1.5,MA,fh,1.2956149e-07,1
2,MA,fh,1.5979248e-06,1
2.5,MA,fh,.000010451293,1
3,MA,fh,.000051824594,1
3.5,MA,fh,.0001967175,1
4,MA,fh,.00056579494,1
4.5,MA,fh,.0013409181,1
5,MA,fh,.0027287807,1
5.5,MA,fh,.0050140289,1
6,MA,fh,.0083941165,1
6.5,MA,fh,.012794585,1
7,MA,fh,.018275769,1
7.5,MA,fh,.024551814,1
8,MA,fh,.031284694,1
8.5,MA,fh,.03799995,1
9,MA,fh,.04434894,1
9.5,MA,fh,.049986631,1
10,MA,fh,.054317746,1
10.5,MA,fh,.057390079,1
11,MA,fh,.058925383,1
11.5,MA,fh,.059195906,1
12,MA,fh,.058026828,1
12.5,MA,fh,.055635128,1
13,MA,fh,.052393582,1
13.5,MA,fh,.04847569,1
14,MA,fh,.044157103,1
14.5,MA,fh,.039628323,1
15,MA,fh,.035035796,1
15.5,MA,fh,.0305639,1
16,MA,fh,.030487889,1
16.5,MA,fh,.025998881,1
17,MA,fh,.021884689,1
17.5,MA,fh,.01818699,1
18,MA,fh,.015030048,1
18.5,MA,fh,.012306245,1
19,MA,fh,.010001988,1
19.5,MA,fh,.0079971226,1
20,MA,fh,.0063982573,1
20.5,MA,fh,.0050671948,1
21,MA,fh,.0039839414,1
21.5,MA,fh,.0031054635,1
22,MA,fh,.00243151,1
22.5,MA,fh,.0018497728,1
23,MA,fh,.0014272775,1
23.5,MA,fh,.0010923002,1
24,MA,fh,.00083494437,1
24.5,MA,fh,.00062327186,1
1.5,MA,pr,1.2352716e-07,1
2,MA,pr,1.5235013e-06,1
2.5,MA,pr,9.9645231e-06,1
3,MA,pr,.000049410857,1
3.5,MA,pr,.00018755537,1
4,MA,pr,.00053944299,1
4.5,MA,pr,.0012784648,1
5,MA,pr,.0026016876,1
5.5,MA,pr,.0047805002,1
6,MA,pr,.0080031594,1
6.5,MA,pr,.012198675,1
7,MA,pr,.017424574,1
