iteration_2024,length,draw,n_fish_population_2024,state,mode,fitted_prob
2,4,1,44135083.70373535,CT,fh,.000024423518
2,4.5,1,53427927.33984375,CT,fh,.0001913891
2,5,1,62610440.47656479,CT,fh,.00096162269
2,5.5,1,67071594.26074219,CT,fh,.0034744032
2,6,1,64444063.37501075,CT,fh,.0098688668
2,6.5,1,57280061.77441406,CT,fh,.022410575
2,7,1,50204422.41601563,CT,fh,.039915446
2,7.5,1,42551941.640625,CT,fh,.057907198
2,8,1,34377267.2734375,CT,fh,.070354827
2,8.5,1,28390228.34376802,CT,fh,.074263439
2,9,1,26633748.8125,CT,fh,.076926105
2,9.5,1,25748595.375,CT,fh,.077067308
2,10,1,24643953.08984375,CT,fh,.12516682
2,10.5,1,25206302.71044922,CT,fh,.10592707
2,11,1,26867334.18750076,CT,fh,.08743719
2,11.5,1,27420559.890625,CT,fh,.070104323
2,12,1,26509520.61425781,CT,fh,.054076537
2,12.5,1,25331997.29321289,CT,fh,.040332653
2,13,1,22727469.13183624,CT,fh,.028967049
2,13.5,1,17880358.67248535,CT,fh,.020070557
2,14,1,12014795.85156283,CT,fh,.013385143
2,14.5,1,7507841.072273398,CT,fh,.0085921632
2,15,1,4458939.563476563,CT,fh,.0053322492
2,15.5,1,2357823.11035264,CT,fh,.0031860007
2,16,1,1074621.03125,CT,fh,.0018491531
2,16.5,1,600858.5614624023,CT,fh,.0010458841
2,17,1,458486.4687502259,CT,fh,.00057218486
2,17.5,1,363959.875,CT,fh,.00030635879
2,18,1,338833.28125,CT,fh,.00015979446
2,18.5,1,338833.28125,CT,fh,.000083293082
2,19,1,338833.28125,CT,fh,.000039935039
11,4,2,16261306.76611328,CT,fh,9.5784271e-06
11,4.5,2,19479863.5234375,CT,fh,.000073977433
11,5,2,23142795.42187701,CT,fh,.00037453769
11,5.5,2,25685012.86230469,CT,fh,.0013923887
11,6,2,26219624.36719751,CT,fh,.0041687521
11,6.5,2,25856307.51806641,CT,fh,.010422682
11,7,2,26381180.49804688,CT,fh,.021585194
11,7.5,2,26492404.4140625,CT,fh,.037385654
11,8,2,25642308.1484375,CT,fh,.055426102
11,8.5,2,25007483.46875793,CT,fh,.071106024
11,9,2,25162468.65625,CT,fh,.081130706
11,9.5,2,24540252.3125,CT,fh,.08375103
11,10,2,23418877.41699219,CT,fh,.13810974
11,10.5,2,23852083.27337646,CT,fh,.11786336
11,11,2,25417198.78125023,CT,fh,.097723164
11,11.5,2,26000884.8125,CT,fh,.07861869
11,12,2,25215833.48925781,CT,fh,.060835123
11,12.5,2,24162869.32214355,CT,fh,.045485586
11,13,2,21719382.19042999,CT,fh,.032722358
11,13.5,2,17106278.07861328,CT,fh,.022697853
11,14,2,11502185.90429721,CT,fh,.015149818
11,14.5,2,7188816.916022453,CT,fh,.0097288331
11,15,2,4268656.509765625,CT,fh,.0060379361
11,15.5,2,2256829.776368159,CT,fh,.0036076272
11,16,2,1028560.90625,CT,fh,.0020938509
11,16.5,2,575012.9395751953,CT,fh,.0011842443
11,17,2,438711.6562502323,CT,fh,.00064786244
11,17.5,2,348262.0625,CT,fh,.00034687805
11,18,2,324219.1875,CT,fh,.000180929
11,18.5,2,324219.1875,CT,fh,.000094309493
11,19,2,324219.1875,CT,fh,.000045216879
13,4,3,17011908.75561523,CT,fh,7.3930178e-06
13,4.5,3,20444139.9375,CT,fh,.000058670041
13,5,3,24425025.75000217,CT,fh,.00030832965
13,5.5,3,27316106.76074219,CT,fh,.0011933038
13,6,3,28209582.96094889,CT,fh,.0037476178
13,6.5,3,28386480.89160156,CT,fh,.0099606682
13,7,3,29789200.16015625,CT,fh,.021807596
13,7.5,3,30762743.609375,CT,fh,.038966727
13,8,3,30573735.0625,CT,fh,.058141414
13,8.5,3,30495980.93750825,CT,fh,.073375575
13,9,3,31039631.5625,CT,fh,.081577905
13,9.5,3,30446290.4765625,CT,fh,.082068354
13,10,3,29344623.8671875,CT,fh,.13859221
13,10.5,3,30472391.90161133,CT,fh,.11650649
13,11,3,33139215.56250024,CT,fh,.096342318
13,11.5,3,34511664.0703125,CT,fh,.077720255
13,12,3,34008460.57714844,CT,fh,.060407642
13,12.5,3,32958050.39428711,CT,fh,.045314774
13,13,3,29806283.54296909,CT,fh,.0326223
13,13.5,3,23537391.45874023,CT,fh,.022594955
13,14,3,15835531.48046923,CT,fh,.015035434
13,14.5,3,9889100.607429264,CT,fh,.0096262749
13,15,3,5860718.548339844,CT,fh,.0059569329
13,15.5,3,3093837.542969538,CT,fh,.003551841
13,16,3,1409675.919921875,CT,fh,.0020608238
13,16.5,3,787002.3410644531,CT,fh,.0011635831
13,17,3,599830.0625005064,CT,fh,.00063573552
13,17.5,3,476162.53125,CT,fh,.00034038501
13,18,3,443289.84375,CT,fh,.00017754234
13,18.5,3,443289.84375,CT,fh,.000092544171
13,19,3,443289.84375,CT,fh,.000044370492
17,4,4,36680924.10644531,CT,fh,.000023349285
17,4.5,4,38958720.5546875,CT,fh,.0001627794
17,5,4,40290190.26562644,CT,fh,.00073555019
17,5.5,4,39368316.09521484,CT,fh,.0024730046
17,6,4,35222422.4257891,CT,fh,.0066937618
17,6.5,4,29842728.16577148,CT,fh,.014913514
17,7,4,26770686.73046875,CT,fh,.027904466
17,7.5,4,24906207.45703125,CT,fh,.045112081
17,8,4,23063804.0390625,CT,fh,.063155115
17,8.5,4,21807613.96877688,CT,fh,.076095104
17,9,4,21477776.5625,CT,fh,.082181662
17,9.5,4,20616617.7109375,CT,fh,.081079654
17,10,4,19468583.69628906,CT,fh,.13440387
17,10.5,4,19867087.08532715,CT,fh,.1111706
17,11,4,21440023.46875023,CT,fh,.091249853
17,11.5,4,22274255.625,CT,fh,.073423073
17,12,4,21931915.98925781,CT,fh,.057002451
17,12.5,4,21278331.75097656,CT,fh,.042786431
17,13,4,19301747.62890653,CT,fh,.030876756
17,13.5,4,15310791.34863281,CT,fh,.021467399
17,14,4,10359150.90039093,CT,fh,.014354786
17,14.5,4,6498714.00586427,CT,fh,.0092270439
17,15,4,3864986.923339844,CT,fh,.0057278038
17,15.5,4,2045125.903321023,CT,fh,.0034224996
17,16,4,932155.1938476563,CT,fh,.0019863895
17,16.5,4,521356.6423339844,CT,fh,.00112342
17,17,4,397912.5312501686,CT,fh,.0006145669
17,17.5,4,315874.53125,CT,fh,.00032905093
17,18,4,294067.59375,CT,fh,.00017163054
17,18.5,4,294067.59375,CT,fh,.000089462636
17,19,4,294067.59375,CT,fh,.000042893047
18,4,5,25359034.8984375,CT,fh,.000010320587
18,4.5,5,28264442.12304688,CT,fh,.000074901007
18,5,5,30989355.73437625,CT,fh,.00035573609
18,5.5,5,32043319.20703125,CT,fh,.0012568767
18,6,5,30496893.62892226,CT,fh,.0035987531
18,6.5,5,27890636.04980469,CT,fh,.0086320275
18,7,5,26868271.50390625,CT,fh,.017455216
18,7.5,5,26289404.609375,CT,fh,.030118002
18,8,5,25500071.578125,CT,fh,.045121979
18,8.5,5,25629116.43751609,CT,fh,.059216704
18,9,5,26916993.4375,CT,fh,.069349989
18,9.5,5,27599440.171875,CT,fh,.073894784
18,10,5,28391944.31640625,CT,fh,.13468878
18,10.5,5,31874105.71533203,CT,fh,.12334256
18,11,5,36557160.26562524,CT,fh,.1078303
18,11.5,5,39256681.890625,CT,fh,.08970876
18,12,5,39388556.921875,CT,fh,.070944369
18,12.5,5,38462273.21813965,CT,fh,.05355373
18,13,5,34867794.81933622,CT,fh,.038587887
18,13.5,5,27550704.375,CT,fh,.026698129
18,14,5,18533888.53125037,CT,fh,.017731491
18,14.5,5,11570754.03516049,CT,fh,.011333677
18,15,5,6857072.522460938,CT,fh,.0070075109
18,15.5,5,3620599.662110794,CT,fh,.0041772006
