mean,st_error,state,mode1
142.40956,14.149174,CT,fh
47.435619,2.0177171,CT,pr
28.177973,3.5803576,CT,sh
177.74933,7.9468699,DE,fh
61.623371,4.1211452,DE,pr
49.668419,4.6753187,DE,sh
168.07655,24.954353,MA,fh
64.727379,5.8471899,MA,pr
29.997967,5.3216572,MA,sh
203.76941,9.5435781,MD,fh
52.288795,4.2494884,MD,pr
32.120308,2.7877755,MD,sh
249.42207,26.036892,ME,fh
30.317009,4.1960583,ME,pr
48.545574,7.7153387,ME,sh
541.47296,35.846218,NC,fh
57.478783,2.6082382,NC,pr
88.632614,5.0725636,NC,sh
153.80511,15.010709,NH,fh
34.839203,2.7741735,NH,pr
38.730122,13.738344,NH,sh
132.75957,11.832007,NJ,fh
74.29451,7.1276321,NJ,pr
24.925957,2.0069687,NJ,sh
144.14568,11.262738,NY,fh
59.549152,5.233583,NY,pr
20.715515,1.6732198,NY,sh
164.09822,15.673211,RI,fh
32.737961,2.8484533,RI,pr
21.431379,3.0829923,RI,sh
321.57388,35.788136,VA,fh
59.02927,4.3002605,VA,pr
37.462719,6.6848388,VA,sh
